step,system_vehicles,system_total_stopped,system_total_waiting_time,system_VSP,system_mean_waiting_time,system_mean_speed,system_mean_acceleration,system_mean_VSP,system_total_C02_emissions,system_mean_fuel_consumption,system_total_fuel_consumption,system_out_lanes_density_avg ,system_lanes_density_avg ,system_queue_avg ,s1_stopped,s1_accumulated_waiting_time,s1_average_speed,s1_average_acceleration,s2_stopped,s2_accumulated_waiting_time,s2_average_speed,s2_average_acceleration,s3_stopped,s3_accumulated_waiting_time,s3_average_speed,s3_average_acceleration,s4_stopped,s4_accumulated_waiting_time,s4_average_speed,s4_average_acceleration,agents_total_stopped,agents_total_accumulated_waiting_time,total_accumulated_VSP_emissions
190.0,50,27,684.0,73.5210483723999,13.68,3.1150181593841357,0.005076288855907318,1.4704209674479978,127259.5776374372,811.8354438335776,40591.77219167888,0.2505379015801326,0.3115934340222531,0.18399693285938234,6,111.0,0.3517449190957569,0.010449819781407918,15,561.0,0.3517449190957569,0.010449819781407918,5,59.0,0.3517449190957569,0.010449819781407918,1,8.0,0.3517449190957569,0.010449819781407918,27,739.0,48.18128033590812
195.0,52,29,692.0,62.88684874108659,13.307692307692308,2.7539722661640877,0.10596295818331763,1.2093624757901267,125090.39419658067,767.3083252732083,39900.03291420683,0.24356716222212824,0.3112252161905457,0.19505209674789234,6,141.0,0.23465306312373774,-0.03248586785039778,13,581.0,0.23465306312373774,-0.03248586785039778,8,77.0,0.23465306312373774,-0.03248586785039778,2,15.0,0.23465306312373774,-0.03248586785039778,29,814.0,29.64650676335244
200.0,54,26,631.0,167.65309918878418,11.685185185185185,3.5789531627511315,0.23568406168102174,3.1046870220145215,157011.43829661308,927.4296329599651,50081.20017983813,0.248833320957659,0.2910474781563526,0.1739695161872007,4,148.0,0.24296524436014072,0.15102745550382343,11,557.0,0.24296524436014072,0.15102745550382343,7,112.0,0.24296524436014072,0.15102745550382343,4,33.0,0.24296524436014072,0.15102745550382343,26,850.0,66.24876561269842
205.0,54,27,726.0,149.07268551281535,13.444444444444445,3.7245414235404457,0.15185503775999415,2.7606052872743594,154816.81335539912,914.4678411903403,49381.26342427839,0.23957838989194313,0.2629741181483662,0.178721026122586,5,135.0,0.13385184764834376,0.08640499211200336,11,509.0,0.13385184764834376,0.08640499211200336,7,129.0,0.13385184764834376,0.08640499211200336,4,53.0,0.13385184764834376,0.08640499211200336,27,826.0,79.30540283919946
210.0,49,25,783.0,59.31364057538368,15.979591836734693,3.6798086241234915,0.07069532699089977,1.2104824607221158,121080.18958701742,788.178576459083,38620.75024649507,0.19340565396411077,0.20916601289010908,0.16211658033929252,7,153.0,0.08819396781723692,0.1387232221485716,10,456.0,0.08819396781723692,0.1387232221485716,7,140.0,0.08819396781723692,0.1387232221485716,1,53.0,0.08819396781723692,0.1387232221485716,25,802.0,-3.4943453223577636
215.0,49,18,615.0,162.1175575670871,12.551020408163266,4.149908725720155,0.3759272794417401,3.3085215830017773,140741.569041518,916.1556853384346,44891.62858158329,0.17783086961003658,0.2070938078179667,0.11808133734134084,7,175.0,0.2770378800696605,0.1920087485459532,6,450.0,0.2770378800696605,0.1920087485459532,4,146.0,0.2770378800696605,0.1920087485459532,1,33.0,0.2770378800696605,0.1920087485459532,18,804.0,38.67469842949481
220.0,47,12,575.0,208.45089164920626,12.23404255319149,5.858667025486656,0.29095728239176927,4.435125354238433,154954.58476853132,1051.5851176138408,49424.50052785051,0.1929284994778756,0.23605253009784644,0.08265257493474568,3,174.0,0.4906931892590745,0.1819914345963678,8,458.0,0.4906931892590745,0.1819914345963678,1,110.0,0.4906931892590745,0.1819914345963678,0,2.0,0.4906931892590745,0.1819914345963678,12,744.0,114.12857777558894
225.0,46,16,643.0,3.068602301228606,13.978260869565217,5.468521926610902,-0.32453387868847977,0.0667087456788829,106864.13098313742,740.9959300489921,34085.81278225364,0.18286781599086158,0.2568996452560874,0.11040686831643688,3,171.0,0.48575096516195637,-0.519143292848208,11,505.0,0.48575096516195637,-0.519143292848208,1,68.0,0.48575096516195637,-0.519143292848208,1,1.0,0.48575096516195637,-0.519143292848208,16,745.0,-43.15428357341565
230.0,46,22,741.0,108.4060788141597,16.108695652173914,4.489281832285542,0.06918635372306818,2.356653887264341,121551.24725090376,842.8410463245714,38770.688130930284,0.20323724364894535,0.25915175790943007,0.1496822119051335,3,177.0,0.38165564473530006,0.05076528317113739,13,566.0,0.38165564473530006,0.05076528317113739,3,79.0,0.38165564473530006,0.05076528317113739,3,12.0,0.38165564473530006,0.05076528317113739,22,834.0,52.09061396944777
235.0,47,20,694.0,90.03085569759976,14.76595744680851,3.378124313720845,0.006489309327288531,1.9155501212255275,136284.21716243893,924.8923250809747,43469.93927880581,0.1934992113500639,0.2734650501859646,0.13750526993424178,2,93.0,0.2173391542419883,-0.2100921539442993,12,610.0,0.2173391542419883,-0.2100921539442993,4,98.0,0.2173391542419883,-0.2100921539442993,2,19.0,0.2173391542419883,-0.2100921539442993,20,820.0,44.8154517525324
